"hospital_name","state","hospital_type","hospital_overall_rating","readmission_avg_score","infections_avg_score","performance_tier"
"Carewell Health Medical Center","Nj","Acute Care Hospitals","1.0","71.68","2216.972","Below Average"
"Kaiser Foundation Hospital - San Leandro","Ca","Acute Care Hospitals","2.0","60.933","3779.579","Below Average"
"Kaiser Foundation Hospital - Antioch","Ca","Acute Care Hospitals","1.0","59.033","2628.15","Below Average"
"St John'S Episcopal Hospital At South Shore","Ny","Acute Care Hospitals","1.0","49.957","3664.195","Below Average"
"Jackson Park Hospital","Il","Acute Care Hospitals","1.0","49.775","1003.486","Below Average"
"Larkin Community Hospital","Fl","Acute Care Hospitals","1.0","47.72","1294.891","Below Average"
"Valleywise Health Medical Center","Az","Acute Care Hospitals","1.0","46.0","4560.617","Below Average"
"Monroe County Medical Center","Ky","Acute Care Hospitals","1.0","43.067","997.506","Below Average"
"Bronxcare Hospital Center","Ny","Acute Care Hospitals","1.0","42.757","6966.412","Below Average"
"Northwest Health - Starke","In","Acute Care Hospitals","1.0","42.729","311.286","Below Average"
