"hospital_ownership","hospital_count","avg_rating","high_performing","below_average"
"Veterans Health Administration","112","4.16","87","7"
"Tribal","2","4.0","1","0"
"Physician","19","3.58","9","3"
"Voluntary non-profit - Church","222","3.37","107","37"
"Voluntary non-profit - Private","1611","3.31","738","370"
"Voluntary non-profit - Other","252","3.29","107","57"
"Government - Local","181","2.92","61","66"
"Government - Hospital District or Authority","230","2.91","67","83"
"Government - State","37","2.89","12","15"
"Government - Federal","12","2.83","3","5"
"Proprietary","504","2.8","142","218"
